Project Name,Last Edited,Last status change,Next milestone & date,Owner,Phase,Questions/Blockers,Status,Status History,This Week's Update
Admazing,"February 12, 2026 7:02 AM","February 12, 2026",,Danijel Latin,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢 ,"The client is resolving their overdue invoices, but still one left. We have received a new batch of tasks. The progress is steady and the client is satisfied."
SME - Algebra,"February 12, 2026 7:07 AM","February 12, 2026",,Danijel Latin,Active,,🟢 Green,🟡🟢🟢🟢🟢🟢🟢🟢🟢🟢,All of the changes have been delivered. The client is gathering student feedback.
SME - Avela,"February 12, 2026 7:02 AM","February 12, 2026",,Danijel Latin,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢,Megan is working on her side to set everything up for the project. We have very little work left to do after she’s done. Davor will be reviewing the leftover work tomorrow.
SME - Stars,"February 12, 2026 7:07 AM","February 12, 2026","Feb 12th, next stage launch to production",Danijel Latin,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢,Today is a big deploy to production (moved from 15th) and we feel good about it. After that we’re moving to the next batch of tasks.
bMedia,"December 19, 2025 1:09 AM","November 25, 2025",Next week PoC will be delivered,Marianna Schiavino,Completed,,🟢 Green,🟢🟢 ,"Estimated project completion 12/19. "
CityFurniture - AIDaaS,"February 12, 2026 7:05 AM","February 12, 2026",,Danijel Latin,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢,We have sent the last batch of updated documents. Our turnaround is on average two days. We have also met and discussed the plan for the upcoming workshop which Marianna and I completed yesterday evening and will send it for review today.
Clear Packaging,"February 4, 2026 11:57 AM","February 4, 2026",Module 2 development,Alex Wood,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢 🟢🟢 ,"Module 1 complete, working on Module 2.  Client approved ~30 hours for a design discovery on the dashboard which we’ll start in Feb.  Good progress "
Drawbridge,"February 12, 2026 7:06 AM","February 12, 2026",,Danijel Latin,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢🟡🟢 ,"We are delivering tasks either on time or ahead of time. We have started working with their new developer and the relationship seems to be positive. Overall we have received zero negative feedback, and our impression is that the client is happy.
Jordan reached out asking for a meeting between them and us, as they are looking for Nikica’s feedback on some new AI initiatives they are starting."
Encore Vet Group,"December 16, 2025 6:03 AM","November 27, 2025",,Danijel Latin,Completed,,🟢 Green, 🟢 ,"Delivered all key documents, now trying to set up a follow up meeting to see if they want to move forward."
Flagler / Azamara,"January 8, 2026 1:57 AM","December 18, 2025",,Danijel Latin,Completed,,🟢 Green,🟢🟢🟢🟢 ,AI Sprint is done. We are meeting today to debrief them on the Competitive Intelligence effort. Next step will be to create an estimate.
